Libellé Budget;Agrégat;Montant en € par habitant
AUBERVILLIERS;Variation du fonds de roulement;54.4
AULNAY-SOUS-BOIS;Autres dotations et subventions;50.8
AULNAY-SOUS-BOIS;Autres impôts et taxes;35.6
AULNAY-SOUS-BOIS;Charges financières;55.6
AULNAY-SOUS-BOIS;Achats et charges externes;526.9
AULNAY-SOUS-BOIS;Autres dotations de fonctionnement;8.1
AULNAY-SOUS-BOIS;FCTVA;23.5
AULNAY-SOUS-BOIS;Fiscalité reversée;417.8
AULNAY-SOUS-BOIS;Fonds de roulement;-0.6
AULNAY-SOUS-BOIS;Fonds de soutien aux emprunts à risque;1.9
AULNAY-SOUS-BOIS;Impôts locaux;1295
AULNAY-SOUS-BOIS;Péréquations et compensations fiscales;170
AULNAY-SOUS-BOIS;Produit des cessions d'immobilisations;98.9
AULNAY-SOUS-BOIS;Recettes de fonctionnement;1983.5
AULNAY-SOUS-BOIS;Recettes d'investissement hors emprunts;231.3
AULNAY-SOUS-BOIS;Subventions aux personnes de droit privé;86.6
AULNAY-SOUS-BOIS;Subventions d'équipement versées;13.9
AULNAY-SOUS-BOIS;Epargne de gestion;190.9
AULNAY-SOUS-BOIS;Concours de l'Etat;336.1
AULNAY-SOUS-BOIS;Crédits de trésorerie;0
AULNAY-SOUS-BOIS;Dépenses de fonctionnement;1848.7
AULNAY-SOUS-BOIS;Dépenses d'équipement;245.2
AULNAY-SOUS-BOIS;Dépenses d'intervention;152.9
AULNAY-SOUS-BOIS;Dépenses d'investissement hors remb;269.6
AULNAY-SOUS-BOIS;Dépôts au Trésor;158.2
AULNAY-SOUS-BOIS;Dotation globale de fonctionnement;157.9
AULNAY-SOUS-BOIS;Encours de dette;1711.2
AULNAY-SOUS-BOIS;Encours de dette - Dépôts et cautionnements reçus;2.4
AULNAY-SOUS-BOIS;Ventes de biens et services;138.3
AULNAY-SOUS-BOIS;Autres dépenses de fonctionnement;22.3
AULNAY-SOUS-BOIS;Autres dépenses d'investissement;10.5
AULNAY-SOUS-BOIS;Autres recettes de fonctionnement;70.7
AULNAY-SOUS-BOIS;Autres recettes d'investissement;157
AULNAY-SOUS-BOIS;Dépenses totales hors remb;2118.3
AULNAY-SOUS-BOIS;Epargne brute;134.8
AULNAY-SOUS-BOIS;Impôts et taxes;1330.6
AULNAY-SOUS-BOIS;Encours de dette - Dettes bancaires et assimilées;1708.7
AULNAY-SOUS-BOIS;Frais de personnel;1091
AULNAY-SOUS-BOIS;Subventions reçues et participations;107.8
AULNAY-SOUS-BOIS;Recettes totales hors emprunts;2214.7
AULNAY-SOUS-BOIS;Capacité ou besoin de financement;96.5
AULNAY-SOUS-BOIS;Emprunts hors GAD;14.8
AULNAY-SOUS-BOIS;Remboursements d'emprunts hors GAD;167.7
AULNAY-SOUS-BOIS;Annuité de la dette;223.3
AULNAY-SOUS-BOIS;Dépenses d'investissement;437.2
AULNAY-SOUS-BOIS;Dépenses totales;2285.9
AULNAY-SOUS-BOIS;Epargne nette;-32.9
AULNAY-SOUS-BOIS;Flux net de dette;-152.9
AULNAY-SOUS-BOIS;Recettes d'investissement;246
AULNAY-SOUS-BOIS;Recettes totales;2229.5
AULNAY-SOUS-BOIS;Variation du fonds de roulement;-56.4
BAGNOLET;Autres dotations et subventions;189.9
BAGNOLET;Autres impôts et taxes;93.2
BAGNOLET;Charges financières;113.3
BAGNOLET;Achats et charges externes;325.1
BAGNOLET;Autres dotations de fonctionnement;6.5
BAGNOLET;FCTVA;22.4
BAGNOLET;Fiscalité reversée;219.3
BAGNOLET;Fonds de roulement;59.3
BAGNOLET;Impôts locaux;1515.9
BAGNOLET;Péréquations et compensations fiscales;17.1
BAGNOLET;Produit des cessions d'immobilisations;0
BAGNOLET;Recettes de fonctionnement;2047.8
BAGNOLET;Recettes d'investissement hors emprunts;212.3
BAGNOLET;Subventions aux personnes de droit privé;33.7
BAGNOLET;Subventions d'équipement versées;0.5
BAGNOLET;Epargne de gestion;437.9
BAGNOLET;Taxe d'enlévement des ordures ménagères;0
BAGNOLET;TVA;1.9
BAGNOLET;Concours de l'Etat;177.6
BAGNOLET;Crédits de trésorerie;0
BAGNOLET;Dépenses de fonctionnement;1726.2
BAGNOLET;Dépenses d'équipement;452.2
BAGNOLET;Dépenses d'intervention;106.3
BAGNOLET;Dépenses d'investissement hors remb;497
BAGNOLET;Dépôts au Trésor;107.1
BAGNOLET;Dotation globale de fonctionnement;154
BAGNOLET;Encours de dette;3596.3
BAGNOLET;Encours de dette - Dépôts et cautionnements reçus;2.4
BAGNOLET;Ventes de biens et services;116.6
BAGNOLET;Autres dépenses de fonctionnement;36.2
BAGNOLET;Autres dépenses d'investissement;44.3
BAGNOLET;Autres recettes de fonctionnement;41.8
BAGNOLET;Autres recettes d'investissement;-2.3581965781669635e-14
BAGNOLET;Dépenses totales hors remb;2223.2
BAGNOLET;Epargne brute;321.6
BAGNOLET;Impôts et taxes;1609.1
BAGNOLET;Encours de dette - Dettes bancaires et assimilées;3590.4
BAGNOLET;Frais de personnel;1145.4
BAGNOLET;Subventions reçues et participations;102.7
BAGNOLET;Recettes totales hors emprunts;2260.1
BAGNOLET;Capacité ou besoin de financement;36.9
BAGNOLET;Emprunts hors GAD;111.4
BAGNOLET;Remboursements d'emprunts hors GAD;214.7
BAGNOLET;Annuité de la dette;328
BAGNOLET;Dépenses d'investissement;711.7
BAGNOLET;Dépenses totales;2437.9
BAGNOLET;Epargne nette;106.9
BAGNOLET;Flux net de dette;-103.3
BAGNOLET;Recettes d'investissement;323.7
BAGNOLET;Recettes totales;2371.5
BAGNOLET;Variation du fonds de roulement;-66.4
BOBIGNY;Autres dotations et subventions;361.9
BOBIGNY;Autres impôts et taxes;46.1
BOBIGNY;Charges financières;79.4
BOBIGNY;Achats et charges externes;417.3
BOBIGNY;Autres dotations de fonctionnement;8.5
BOBIGNY;FCTVA;71.9
BOBIGNY;Fiscalité reversée;427.3
BOBIGNY;Fonds de roulement;364.3
BOBIGNY;Impôts locaux;1508.1
BOBIGNY;Péréquations et compensations fiscales;66.2
BOBIGNY;Produit des cessions d'immobilisations;85.5
BOBIGNY;Recettes de fonctionnement;2373.3
BOBIGNY;Recettes d'investissement hors emprunts;520.1
BOBIGNY;Subventions aux personnes de droit privé;52.4
BOBIGNY;Subventions d'équipement versées;21.5
BOBIGNY;Epargne de gestion;486.1
BOBIGNY;Concours de l'Etat;465.6
BOBIGNY;Crédits de trésorerie;0
BOBIGNY;Dépenses de fonctionnement;1966.5
BOBIGNY;Dépenses d'équipement;859.2
BOBIGNY;Dépenses d'intervention;149
BOBIGNY;Dépenses d'investissement hors remb;881.2
BOBIGNY;Dépôts au Trésor;271.9
BOBIGNY;Dotation globale de fonctionnement;390.9
BOBIGNY;Encours de dette;2039.1
BOBIGNY;Encours de dette - Dépôts et cautionnements reçus;1.5
BOBIGNY;Ventes de biens et services;217.9
BOBIGNY;Autres dépenses de fonctionnement;26.4
BOBIGNY;Autres dépenses d'investissement;0.5
BOBIGNY;Autres recettes de fonctionnement;44.3
BOBIGNY;Autres recettes d'investissement;86.3
BOBIGNY;Dépenses totales hors remb;2847.7
BOBIGNY;Epargne brute;406.8
BOBIGNY;Impôts et taxes;1554.2
BOBIGNY;Encours de dette - Dettes bancaires et assimilées;2022.7
BOBIGNY;Frais de personnel;1294.4
BOBIGNY;Subventions reçues et participations;91.3
BOBIGNY;Recettes totales hors emprunts;2893.5
BOBIGNY;Capacité ou besoin de financement;45.8
BOBIGNY;Emprunts hors GAD;290.9
BOBIGNY;Remboursements d'emprunts hors GAD;173.3
BOBIGNY;Annuité de la dette;252.7
BOBIGNY;Dépenses d'investissement;1054.5
BOBIGNY;Dépenses totales;3021
BOBIGNY;Epargne nette;233.5
BOBIGNY;Flux net de dette;117.5
BOBIGNY;Recettes d'investissement;811
BOBIGNY;Recettes totales;3184.3
BOBIGNY;Variation du fonds de roulement;163.3
BONDY;Autres dotations et subventions;75.6
BONDY;Autres impôts et taxes;40.7
BONDY;Charges financières;63.3
BONDY;Achats et charges externes;368.7
BONDY;Autres dotations de fonctionnement;7
BONDY;FCTVA;39.4
BONDY;Fiscalité reversée;-7.2
BONDY;Fonds de roulement;346.2
BONDY;Impôts locaux;1013.1
BONDY;Péréquations et compensations fiscales;16.8
BONDY;Produit des cessions d'immobilisations;16
BONDY;Recettes de fonctionnement;1828
BONDY;Recettes d'investissement hors emprunts;141.5
BONDY;Subventions aux personnes de droit privé;19.5
BONDY;Subventions d'équipement versées;4
BONDY;Epargne de gestion;352
BONDY;Concours de l'Etat;499
BONDY;Crédits de trésorerie;0
BONDY;Dépenses de fonctionnement;1542.6
BONDY;Dépenses d'équipement;215.3
BONDY;Dépenses d'intervention;102.3
BONDY;Dépenses d'investissement hors remb;219.5
BONDY;Dépôts au Trésor;290.5
BONDY;Dotation globale de fonctionnement;475.2
BONDY;Encours de dette;1952
BONDY;Encours de dette - Dépôts et cautionnements reçus;2.2
BONDY;Ventes de biens et services;115.5
BONDY;Autres dépenses de fonctionnement;44.6
BONDY;Autres dépenses d'investissement;0.3
BONDY;Autres recettes de fonctionnement;10.7
BONDY;Autres recettes d'investissement;26.5
BONDY;Dépenses totales hors remb;1762.1
BONDY;Epargne brute;285.4
BONDY;Impôts et taxes;1053.8
BONDY;Encours de dette - Dettes bancaires et assimilées;1949.8
BONDY;Frais de personnel;963.7
BONDY;Subventions reçues et participations;149
BONDY;Recettes totales hors emprunts;1969.5
BONDY;Capacité ou besoin de financement;207.4
BONDY;Emprunts hors GAD;94.2
BONDY;Remboursements d'emprunts hors GAD;190.6
BONDY;Annuité de la dette;253.9
BONDY;Dépenses d'investissement;410.1
BONDY;Dépenses totales;1952.7
BONDY;Epargne nette;94.8
BONDY;Flux net de dette;-96.3
BONDY;Recettes d'investissement;235.7
BONDY;Recettes totales;2063.7
BONDY;Variation du fonds de roulement;111
CLICHY-SOUS-BOIS;Autres dotations et subventions;66.4
CLICHY-SOUS-BOIS;Autres impôts et taxes;20.5
CLICHY-SOUS-BOIS;Charges financières;25.7
CLICHY-SOUS-BOIS;Achats et charges externes;645.1
CLICHY-SOUS-BOIS;Autres dotations de fonctionnement;5.7
CLICHY-SOUS-BOIS;FCTVA;52.7
CLICHY-SOUS-BOIS;Fiscalité reversée;48.1
CLICHY-SOUS-BOIS;Fonds de roulement;72.5
CLICHY-SOUS-BOIS;Impôts locaux;776.7
CLICHY-SOUS-BOIS;Péréquations et compensations fiscales;41.9
CLICHY-SOUS-BOIS;Produit des cessions d'immobilisations;0
CLICHY-SOUS-BOIS;Recettes de fonctionnement;2041.2
CLICHY-SOUS-BOIS;Recettes d'investissement hors emprunts;119.1
CLICHY-SOUS-BOIS;Subventions aux personnes de droit privé;68.7
CLICHY-SOUS-BOIS;Subventions d'équipement versées;21.2
CLICHY-SOUS-BOIS;Epargne de gestion;156.7
CLICHY-SOUS-BOIS;Concours de l'Etat;972.4
CLICHY-SOUS-BOIS;Crédits de trésorerie;25.2
CLICHY-SOUS-BOIS;Dépenses de fonctionnement;1910.6
CLICHY-SOUS-BOIS;Dépenses d'équipement;464.1
CLICHY-SOUS-BOIS;Dépenses d'intervention;162.1
CLICHY-SOUS-BOIS;Dépenses d'investissement hors remb;498.7
CLICHY-SOUS-BOIS;Dépôts au Trésor;6.3
CLICHY-SOUS-BOIS;Dotation globale de fonctionnement;924.8
CLICHY-SOUS-BOIS;Encours de dette;757
CLICHY-SOUS-BOIS;Encours de dette - Dépôts et cautionnements reçus;0.4
CLICHY-SOUS-BOIS;Ventes de biens et services;60.2
CLICHY-SOUS-BOIS;Autres dépenses de fonctionnement;60.7
CLICHY-SOUS-BOIS;Autres dépenses d'investissement;13.4
CLICHY-SOUS-BOIS;Autres recettes de fonctionnement;32.9
CLICHY-SOUS-BOIS;Autres recettes d'investissement;0
CLICHY-SOUS-BOIS;Dépenses totales hors remb;2409.3
CLICHY-SOUS-BOIS;Epargne brute;130.6
CLICHY-SOUS-BOIS;Impôts et taxes;797.2
CLICHY-SOUS-BOIS;Encours de dette - Dettes bancaires et assimilées;739.8
CLICHY-SOUS-BOIS;Frais de personnel;1017
CLICHY-SOUS-BOIS;Subventions reçues et participations;178.5
CLICHY-SOUS-BOIS;Recettes totales hors emprunts;2160.3
CLICHY-SOUS-BOIS;Capacité ou besoin de financement;-249
CLICHY-SOUS-BOIS;Emprunts hors GAD;0
CLICHY-SOUS-BOIS;Remboursements d'emprunts hors GAD;99.1
CLICHY-SOUS-BOIS;Annuité de la dette;124.8
CLICHY-SOUS-BOIS;Dépenses d'investissement;597.9
CLICHY-SOUS-BOIS;Dépenses totales;2508.5
CLICHY-SOUS-BOIS;Epargne nette;31.4
CLICHY-SOUS-BOIS;Flux net de dette;-99.1
CLICHY-SOUS-BOIS;Recettes d'investissement;119.1
CLICHY-SOUS-BOIS;Recettes totales;2160.3
CLICHY-SOUS-BOIS;Variation du fonds de roulement;-348.2
COUBRON;Autres dotations et subventions;93.9
COUBRON;Autres impôts et taxes;59.5
COUBRON;Charges financières;17.3
COUBRON;Achats et charges externes;345.3
COUBRON;Autres dotations de fonctionnement;4.1
COUBRON;FCTVA;33.3
COUBRON;Fiscalité reversée;96.9
COUBRON;Fonds de roulement;749
COUBRON;Impôts locaux;953.2
COUBRON;Péréquations et compensations fiscales;5.8
COUBRON;Produit des cessions d'immobilisations;2
COUBRON;Recettes de fonctionnement;1372.8
COUBRON;Recettes d'investissement hors emprunts;129.1
COUBRON;Subventions aux personnes de droit privé;7.6
COUBRON;Subventions d'équipement versées;0
COUBRON;Epargne de gestion;217.3
COUBRON;Concours de l'Etat;98.3
COUBRON;Crédits de trésorerie;0
COUBRON;Dépenses de fonctionnement;1163.8
COUBRON;Dépenses d'équipement;188.1
COUBRON;Dépenses d'intervention;33.9
COUBRON;Dépenses d'investissement hors remb;190
COUBRON;Dépôts au Trésor;772.4
COUBRON;DETR;0.6
COUBRON;Dotation globale de fonctionnement;88.4
COUBRON;Encours de dette;786.3
COUBRON;Ventes de biens et services;151.5
COUBRON;Autres dépenses de fonctionnement;29.8
COUBRON;Autres dépenses d'investissement;1.9
COUBRON;Autres recettes de fonctionnement;31.5
COUBRON;Autres recettes d'investissement;2
COUBRON;Dépenses totales hors remb;1353.8
COUBRON;Epargne brute;209.1
COUBRON;Impôts et taxes;1012.7
COUBRON;Encours de dette - Dettes bancaires et assimilées;786.3
COUBRON;Frais de personnel;737.4
COUBRON;Versement transport;0
COUBRON;Subventions reçues et participations;78.8
COUBRON;Recettes totales hors emprunts;1502
COUBRON;Capacité ou besoin de financement;148.2
COUBRON;Emprunts hors GAD;0
COUBRON;Remboursements d'emprunts hors GAD;35.8
COUBRON;Annuité de la dette;53.1
COUBRON;Dépenses d'investissement;225.8
COUBRON;Dépenses totales;1389.5
COUBRON;Epargne nette;173.3
COUBRON;Flux net de dette;-35.8
COUBRON;Recettes d'investissement;129.1
COUBRON;Recettes totales;1502
COUBRON;Variation du fonds de roulement;112.4
DRANCY;Autres dotations et subventions;82
DRANCY;Autres impôts et taxes;42.7
DRANCY;Charges financières;44
DRANCY;Achats et charges externes;427.9
DRANCY;Autres dotations de fonctionnement;9.2
DRANCY;FCTVA;61
DRANCY;Fiscalité reversée;170.1
DRANCY;Fonds de roulement;-216.6
DRANCY;Fonds de soutien aux emprunts à risque;23.2
DRANCY;Impôts locaux;1060.9
DRANCY;Péréquations et compensations fiscales;15.5
DRANCY;Produit des cessions d'immobilisations;76.1
DRANCY;Recettes de fonctionnement;1722
DRANCY;Recettes d'investissement hors emprunts;237.4
DRANCY;Subventions aux personnes de droit privé;23.9
DRANCY;Subventions d'équipement versées;4.7
DRANCY;Epargne de gestion;233.9
DRANCY;Concours de l'Etat;331.3
DRANCY;Crédits de trésorerie;181.9
DRANCY;Dépenses de fonctionnement;1526.4
DRANCY;Dépenses d'équipement;640.2
DRANCY;Dépenses d'intervention;81.6
DRANCY;Dépenses d'investissement hors remb;661
DRANCY;Dépôts au Trésor;24.4
DRANCY;Dotation globale de fonctionnement;306.7
DRANCY;Encours de dette;1950.2
DRANCY;Encours de dette - Dépôts et cautionnements reçus;7.2
DRANCY;Ventes de biens et services;112.4
DRANCY;Autres dépenses de fonctionnement;41.7
DRANCY;Autres dépenses d'investissement;16
DRANCY;Autres recettes de fonctionnement;90.9
DRANCY;Autres recettes d'investissement;94.3
DRANCY;Dépenses totales hors remb;2187.4
DRANCY;Epargne brute;195.6
DRANCY;Impôts et taxes;1103.6
DRANCY;Encours de dette - Dettes bancaires et assimilées;1942.2
DRANCY;Frais de personnel;931.1
DRANCY;Subventions reçues et participations;83.7
DRANCY;Recettes totales hors emprunts;1959.4
DRANCY;Capacité ou besoin de financement;-228
DRANCY;Emprunts hors GAD;140.4
DRANCY;Remboursements d'emprunts hors GAD;128.8
DRANCY;Annuité de la dette;172.8
DRANCY;Dépenses d'investissement;789.8
DRANCY;Dépenses totales;2316.2
DRANCY;Epargne nette;66.8
DRANCY;Flux net de dette;11.5
DRANCY;Recettes d'investissement;377.7
DRANCY;Recettes totales;2099.7
DRANCY;Variation du fonds de roulement;-216.5
DUGNY;Autres dotations et subventions;93.2
DUGNY;Autres impôts et taxes;40.7
DUGNY;Charges financières;14.6
DUGNY;Achats et charges externes;504.2
DUGNY;Autres dotations de fonctionnement;3.3
DUGNY;FCTVA;41.6
DUGNY;Fiscalité reversée;364.4
DUGNY;Fonds de roulement;270.4
DUGNY;Impôts locaux;1353.9
DUGNY;Péréquations et compensations fiscales;114.5
DUGNY;Produit des cessions d'immobilisations;0
DUGNY;Recettes de fonctionnement;2304
DUGNY;Recettes d'investissement hors emprunts;134.8
DUGNY;Subventions aux personnes de droit privé;19.6
DUGNY;Subventions d'équipement versées;47.5
DUGNY;Epargne de gestion;378.4
DUGNY;Concours de l'Etat;561.1
DUGNY;Crédits de trésorerie;0
DUGNY;Dépenses de fonctionnement;1940.6
DUGNY;Dépenses d'équipement;553.2
DUGNY;Dépenses d'intervention;85
DUGNY;Dépenses d'investissement hors remb;600.7
DUGNY;Dépôts au Trésor;364.8
DUGNY;Dotation globale de fonctionnement;443.3
DUGNY;Encours de dette;277.2
DUGNY;Encours de dette - Dépôts et cautionnements reçus;0.5
DUGNY;Ventes de biens et services;160.7
DUGNY;Autres dépenses de fonctionnement;29.3
DUGNY;Autres dépenses d'investissement;0
DUGNY;Autres recettes de fonctionnement;24.9
DUGNY;Autres recettes d'investissement;0
DUGNY;Dépenses totales hors remb;2541.3
DUGNY;Epargne brute;363.4
DUGNY;Impôts et taxes;1394.6
DUGNY;Encours de dette - Dettes bancaires et assimilées;276.7
DUGNY;Frais de personnel;1307.5
DUGNY;Subventions reçues et participations;162.7
DUGNY;Recettes totales hors emprunts;2438.8
DUGNY;Capacité ou besoin de financement;-102.5
DUGNY;Emprunts hors GAD;263.9
DUGNY;Remboursements d'emprunts hors GAD;71
DUGNY;Annuité de la dette;85.5
DUGNY;Dépenses d'investissement;671.7
DUGNY;Dépenses totales;2612.3
DUGNY;Epargne nette;292.4
DUGNY;Flux net de dette;192.9
DUGNY;Recettes d'investissement;398.7
DUGNY;Recettes totales;2702.7
DUGNY;Variation du fonds de roulement;90.5
EPINAY-SUR-SEINE;Autres dotations et subventions;99.7
EPINAY-SUR-SEINE;Autres impôts et taxes;35.4
EPINAY-SUR-SEINE;Charges financières;13.2
EPINAY-SUR-SEINE;Achats et charges externes;257.3
EPINAY-SUR-SEINE;Autres dotations de fonctionnement;3.2
EPINAY-SUR-SEINE;FCTVA;31.8
EPINAY-SUR-SEINE;Fiscalité reversée;-123.9
EPINAY-SUR-SEINE;Fonds de roulement;101.7
EPINAY-SUR-SEINE;Impôts locaux;761.6
EPINAY-SUR-SEINE;Péréquations et compensations fiscales;14.1
EPINAY-SUR-SEINE;Produit des cessions d'immobilisations;21.3
EPINAY-SUR-SEINE;Recettes de fonctionnement;1614.3
EPINAY-SUR-SEINE;Recettes d'investissement hors emprunts;153.3
EPINAY-SUR-SEINE;Subventions aux personnes de droit privé;40.9
EPINAY-SUR-SEINE;Subventions d'équipement versées;26.8
EPINAY-SUR-SEINE;Epargne de gestion;245.7
EPINAY-SUR-SEINE;Concours de l'Etat;512.4
EPINAY-SUR-SEINE;Crédits de trésorerie;0
EPINAY-SUR-SEINE;Dépenses de fonctionnement;1381.7
EPINAY-SUR-SEINE;Dépenses d'équipement;420.8
EPINAY-SUR-SEINE;Dépenses d'intervention;352.9
EPINAY-SUR-SEINE;Dépenses d'investissement hors remb;447.6
EPINAY-SUR-SEINE;Dépôts au Trésor;59.5
EPINAY-SUR-SEINE;Dotation globale de fonctionnement;495
EPINAY-SUR-SEINE;Encours de dette;408
EPINAY-SUR-SEINE;Encours de dette - Dépôts et cautionnements reçus;1.5
EPINAY-SUR-SEINE;Ventes de biens et services;236.3
EPINAY-SUR-SEINE;Autres dépenses de fonctionnement;16.9
EPINAY-SUR-SEINE;Autres dépenses d'investissement;0
EPINAY-SUR-SEINE;Autres recettes de fonctionnement;27
EPINAY-SUR-SEINE;Autres recettes d'investissement;21.9
EPINAY-SUR-SEINE;Dépenses totales hors remb;1829.3
EPINAY-SUR-SEINE;Epargne brute;232.6
EPINAY-SUR-SEINE;Impôts et taxes;797
EPINAY-SUR-SEINE;Encours de dette - Dettes bancaires et assimilées;406.4
EPINAY-SUR-SEINE;Frais de personnel;741.3
EPINAY-SUR-SEINE;Subventions reçues et participations;41.5
EPINAY-SUR-SEINE;Recettes totales hors emprunts;1767.6
EPINAY-SUR-SEINE;Capacité ou besoin de financement;-61.6
EPINAY-SUR-SEINE;Emprunts hors GAD;0.1
EPINAY-SUR-SEINE;Remboursements d'emprunts hors GAD;56.4
EPINAY-SUR-SEINE;Annuité de la dette;69.6
EPINAY-SUR-SEINE;Dépenses d'investissement;504
EPINAY-SUR-SEINE;Dépenses totales;1885.7
EPINAY-SUR-SEINE;Epargne nette;176.2
EPINAY-SUR-SEINE;Flux net de dette;-56.4
EPINAY-SUR-SEINE;Recettes d'investissement;153.4
EPINAY-SUR-SEINE;Recettes totales;1767.7
EPINAY-SUR-SEINE;Variation du fonds de roulement;-118
GAGNY;Autres dotations et subventions;61.8
GAGNY;Autres impôts et taxes;46.2
GAGNY;Charges financières;5.5
GAGNY;Achats et charges externes;315.7
GAGNY;Autres dotations de fonctionnement;2.6
GAGNY;FCTVA;29.3
GAGNY;Fiscalité reversée;58
GAGNY;Fonds de roulement;339.9
GAGNY;Impôts locaux;852.4
GAGNY;Péréquations et compensations fiscales;6.4
GAGNY;Produit des cessions d'immobilisations;0
GAGNY;Recettes de fonctionnement;1358.3
GAGNY;Recettes d'investissement hors emprunts;98.6
GAGNY;Subventions aux personnes de droit privé;28.1
GAGNY;Subventions d'équipement versées;3
GAGNY;Epargne de gestion;199.2
GAGNY;Concours de l'Etat;255.9
GAGNY;Crédits de trésorerie;0
GAGNY;Dépenses de fonctionnement;1164.7
GAGNY;Dépenses d'équipement;465.3
GAGNY;Dépenses d'intervention;100.8
GAGNY;Dépenses d'investissement hors remb;475.1
GAGNY;Dépôts au Trésor;377.9
GAGNY;Dotation globale de fonctionnement;247
GAGNY;Encours de dette;127.1
GAGNY;Encours de dette - Dépôts et cautionnements reçus;1.1
GAGNY;Ventes de biens et services;114
GAGNY;Autres dépenses de fonctionnement;32.7
GAGNY;Autres dépenses d'investissement;6.7
GAGNY;Autres recettes de fonctionnement;30.2
GAGNY;Autres recettes d'investissement;7.4
GAGNY;Dépenses totales hors remb;1639.7
GAGNY;Epargne brute;193.7
GAGNY;Impôts et taxes;898.6
GAGNY;Encours de dette - Dettes bancaires et assimilées;126
GAGNY;Frais de personnel;710
GAGNY;Subventions reçues et participations;59.6
GAGNY;Recettes totales hors emprunts;1456.9
GAGNY;Capacité ou besoin de financement;-182.8
GAGNY;Emprunts hors GAD;0
GAGNY;Remboursements d'emprunts hors GAD;41.5
GAGNY;Annuité de la dette;47
GAGNY;Dépenses d'investissement;516.6
GAGNY;Dépenses totales;1681.3
GAGNY;Epargne nette;152.1
GAGNY;Flux net de dette;-41.5
GAGNY;Recettes d'investissement;98.6
GAGNY;Recettes totales;1457
GAGNY;Variation du fonds de roulement;-224.3
GOURNAY-SUR-MARNE;Autres dotations et subventions;213.2
GOURNAY-SUR-MARNE;Autres impôts et taxes;66.2
GOURNAY-SUR-MARNE;Charges financières;33.7
GOURNAY-SUR-MARNE;Achats et charges externes;395.1
GOURNAY-SUR-MARNE;Autres dotations de fonctionnement;6.1
GOURNAY-SUR-MARNE;FCTVA;62.6
GOURNAY-SUR-MARNE;Fiscalité reversée;80.9
GOURNAY-SUR-MARNE;Fonds de roulement;375.9
GOURNAY-SUR-MARNE;Impôts locaux;1229.6
GOURNAY-SUR-MARNE;Péréquations et compensations fiscales;2.7
GOURNAY-SUR-MARNE;Produit des cessions d'immobilisations;1.7
GOURNAY-SUR-MARNE;Recettes de fonctionnement;1709.9
GOURNAY-SUR-MARNE;Recettes d'investissement hors emprunts;277.4
GOURNAY-SUR-MARNE;Subventions aux personnes de droit privé;18.3
GOURNAY-SUR-MARNE;Subventions d'équipement versées;0
GOURNAY-SUR-MARNE;Epargne de gestion;279
