"","LIBCOM","nb","zone"
"76","Égreville",21,"IDF_DEP_77"
"77","Émerainville",575,"IDF_DEP_77"
"78","Esbly",126,"IDF_DEP_77"
"79","Évry-Grégy-sur-Yerre",16,"IDF_DEP_77"
"80","Faremoutiers",55,"IDF_DEP_77"
"81","Ferrières-en-Brie",118,"IDF_DEP_77"
"82","Fontaine-Fourches",5,"IDF_DEP_77"
"83","Fontainebleau",1655,"IDF_DEP_77"
"84","Fontenay-Trésigny",443,"IDF_DEP_77"
"85","Forges",9,"IDF_DEP_77"
"86","Fublaines",38,"IDF_DEP_77"
"87","Gouaix",6,"IDF_DEP_77"
"88","Gretz-Armainvilliers",766,"IDF_DEP_77"
"89","Grez-sur-Loing",3,"IDF_DEP_77"
"90","Grisy-Suisnes",7,"IDF_DEP_77"
"91","Grisy-sur-Seine",7,"IDF_DEP_77"
"92","Guignes",261,"IDF_DEP_77"
"93","Hautefeuille",4,"IDF_DEP_77"
"94","Héricy",14,"IDF_DEP_77"
"95","Jossigny",16,"IDF_DEP_77"
"96","Jouarre",109,"IDF_DEP_77"
"97","Jouy-le-Châtel",25,"IDF_DEP_77"
"98","Jouy-sur-Morin",75,"IDF_DEP_77"
"99","Juilly",17,"IDF_DEP_77"
"100","La Brosse-Montceaux",20,"IDF_DEP_77"
"101","La Chapelle-Gauthier",70,"IDF_DEP_77"
"102","La Chapelle-la-Reine",189,"IDF_DEP_77"
"103","La Ferté-Gaucher",539,"IDF_DEP_77"
"104","La Ferté-sous-Jouarre",642,"IDF_DEP_77"
"105","La Grande-Paroisse",21,"IDF_DEP_77"
"106","La Rochette",361,"IDF_DEP_77"
"107","Lagny-sur-Marne",1809,"IDF_DEP_77"
"108","Le Châtelet-en-Brie",133,"IDF_DEP_77"
"109","Le Mée-sur-Seine",3654,"IDF_DEP_77"
"110","Le Mesnil-Amelot",96,"IDF_DEP_77"
"111","Le Pin",37,"IDF_DEP_77"
"112","Les Écrennes",1,"IDF_DEP_77"
"113","Lésigny",248,"IDF_DEP_77"
"114","Lieusaint",1598,"IDF_DEP_77"
"115","Livry-sur-Seine",55,"IDF_DEP_77"
"116","Lizy-sur-Ourcq",613,"IDF_DEP_77"
"117","Lognes",1760,"IDF_DEP_77"
"118","Longperrier",99,"IDF_DEP_77"
"119","Longueville",191,"IDF_DEP_77"
"120","Lorrez-le-Bocage-Préaux",89,"IDF_DEP_77"
"121","Louan-Villegruis-Fontaine",3,"IDF_DEP_77"
"122","Magny-le-Hongre",329,"IDF_DEP_77"
"123","Maincy",3,"IDF_DEP_77"
"124","Maison-Rouge",21,"IDF_DEP_77"
"125","Mareuil-lès-Meaux",156,"IDF_DEP_77"
"126","Marolles-sur-Seine",25,"IDF_DEP_77"
"127","May-en-Multien",2,"IDF_DEP_77"
"128","Meaux",9213,"IDF_DEP_77"
"129","Melun",6869,"IDF_DEP_77"
"130","Misy-sur-Yonne",16,"IDF_DEP_77"
"131","Mitry-Mory",1928,"IDF_DEP_77"
"132","Moissy-Cramayel",1961,"IDF_DEP_77"
"133","Montcourt-Fromonville",16,"IDF_DEP_77"
"134","Montereau-Fault-Yonne",3693,"IDF_DEP_77"
"135","Montévrain",714,"IDF_DEP_77"
"136","Monthyon",12,"IDF_DEP_77"
"137","Montigny-Lencoup",5,"IDF_DEP_77"
"138","Montigny-sur-Loing",13,"IDF_DEP_77"
"139","Montry",21,"IDF_DEP_77"
"140","Moret-Loing-et-Orvanne",402,"IDF_DEP_77"
"141","Mormant",354,"IDF_DEP_77"
"142","Mouroux",52,"IDF_DEP_77"
"143","Mousseaux-lès-Bray",15,"IDF_DEP_77"
"144","Moussy-le-Neuf",90,"IDF_DEP_77"
"145","Moussy-le-Vieux",69,"IDF_DEP_77"
"146","Nandy",712,"IDF_DEP_77"
"147","Nangis",1211,"IDF_DEP_77"
"148","Nanteuil-lès-Meaux",191,"IDF_DEP_77"
"149","Nemours",2095,"IDF_DEP_77"
"150","Noisiel",2811,"IDF_DEP_77"
"151","Noisy-Rudignon",13,"IDF_DEP_77"
"152","Oissery",53,"IDF_DEP_77"
"153","Othis",316,"IDF_DEP_77"
"154","Ozoir-la-Ferrière",1094,"IDF_DEP_77"
"155","Perthes",28,"IDF_DEP_77"
"156","Poigny",22,"IDF_DEP_77"
"157","Pommeuse",57,"IDF_DEP_77"
"158","Pomponne",478,"IDF_DEP_77"
"159","Pontault-Combault",2848,"IDF_DEP_77"
"160","Pontcarré",31,"IDF_DEP_77"
"161","Presles-en-Brie",8,"IDF_DEP_77"
"162","Pringy",121,"IDF_DEP_77"
"163","Provins",1883,"IDF_DEP_77"
"164","Quincy-Voisins",157,"IDF_DEP_77"
"165","Réau",75,"IDF_DEP_77"
"166","Rebais",177,"IDF_DEP_77"
"167","Roissy-en-Brie",1570,"IDF_DEP_77"
"168","Rozay-en-Brie",91,"IDF_DEP_77"
"169","Rubelles",220,"IDF_DEP_77"
"170","Saâcy-sur-Marne",4,"IDF_DEP_77"
"171","Saint-Cyr-sur-Morin",6,"IDF_DEP_77"
"172","Saint-Fargeau-Ponthierry",1252,"IDF_DEP_77"
"173","Saint-Germain-Laval",223,"IDF_DEP_77"
"174","Saint-Germain-sur-Morin",30,"IDF_DEP_77"
"175","Saint-Jean-les-Deux-Jumeaux",11,"IDF_DEP_77"
"176","Saint-Loup-de-Naud",15,"IDF_DEP_77"
"177","Saint-Mammès",67,"IDF_DEP_77"
"178","Saint-Mard",72,"IDF_DEP_77"
"179","Saint-Méry",6,"IDF_DEP_77"
"180","Saint-Ouen-sur-Morin",1,"IDF_DEP_77"
"181","Saint-Pathus",15,"IDF_DEP_77"
"182","Saint-Pierre-lès-Nemours",160,"IDF_DEP_77"
"183","Saint-Soupplets",155,"IDF_DEP_77"
"184","Saint-Thibault-des-Vignes",418,"IDF_DEP_77"
"185","Samois-sur-Seine",20,"IDF_DEP_77"
"186","Samoreau",137,"IDF_DEP_77"
"187","Savigny-le-Temple",3093,"IDF_DEP_77"
"188","Savins",3,"IDF_DEP_77"
"189","Seine-Port",6,"IDF_DEP_77"
"190","Serris",612,"IDF_DEP_77"
"191","Servon",140,"IDF_DEP_77"
"192","Sivry-Courtry",4,"IDF_DEP_77"
"193","Souppes-sur-Loing",505,"IDF_DEP_77"
"194","Sourdun",19,"IDF_DEP_77"
"195","Thieux",2,"IDF_DEP_77"
"196","Thorigny-sur-Marne",1036,"IDF_DEP_77"
"197","Torcy",3346,"IDF_DEP_77"
"198","Tournan-en-Brie",634,"IDF_DEP_77"
"199","Trilport",174,"IDF_DEP_77"
"200","Vaires-sur-Marne",1312,"IDF_DEP_77"
"201","Valence-en-Brie",25,"IDF_DEP_77"
"202","Varennes-sur-Seine",380,"IDF_DEP_77"
"203","Varreddes",29,"IDF_DEP_77"
"204","Vaux-le-Pénil",728,"IDF_DEP_77"
"205","Vendrest",9,"IDF_DEP_77"
"206","Verdelot",4,"IDF_DEP_77"
"207","Verneuil-l'Étang",275,"IDF_DEP_77"
"208","Vernou-la-Celle-sur-Seine",35,"IDF_DEP_77"
"209","Vert-Saint-Denis",618,"IDF_DEP_77"
"210","Villenauxe-la-Petite",18,"IDF_DEP_77"
"211","Villeneuve-le-Comte",8,"IDF_DEP_77"
"212","Villeneuve-Saint-Denis",23,"IDF_DEP_77"
"213","Villeneuve-sous-Dammartin",9,"IDF_DEP_77"
"214","Villenoy",430,"IDF_DEP_77"
"215","Villeparisis",1851,"IDF_DEP_77"
"216","Villiers-Saint-Georges",55,"IDF_DEP_77"
"217","Villiers-sur-Morin",1,"IDF_DEP_77"
"218","Voulx",36,"IDF_DEP_77"
"219","Vulaines-sur-Seine",19,"IDF_DEP_77"
"220","Ablis",92,"IDF_DEP_78"
"221","Achères",4074,"IDF_DEP_78"
"222","Aigremont",8,"IDF_DEP_78"
"223","Andrésy",753,"IDF_DEP_78"
"224","Aubergenville",1650,"IDF_DEP_78"
"225","Auffargis",22,"IDF_DEP_78"
"226","Bailly",129,"IDF_DEP_78"
"227","Bennecourt",3,"IDF_DEP_78"
"228","Beynes",246,"IDF_DEP_78"
"229","Bois-d'Arcy",924,"IDF_DEP_78"
"230","Boissy-sans-Avoir",9,"IDF_DEP_78"
"231","Bonnelles",21,"IDF_DEP_78"
"232","Bonnières-sur-Seine",772,"IDF_DEP_78"
"233","Bouafle",17,"IDF_DEP_78"
"234","Bougival",608,"IDF_DEP_78"
"235","Buc",334,"IDF_DEP_78"
"236","Buchelay",293,"IDF_DEP_78"
"237","Bullion",37,"IDF_DEP_78"
"238","Carrières-sous-Poissy",2292,"IDF_DEP_78"
"239","Carrières-sur-Seine",1081,"IDF_DEP_78"
"240","Chambourcy",455,"IDF_DEP_78"
"241","Chanteloup-les-Vignes",1637,"IDF_DEP_78"
"242","Châteaufort",10,"IDF_DEP_78"
"243","Chatou",1529,"IDF_DEP_78"
"244","Chevreuse",294,"IDF_DEP_78"
"245","Coignières",378,"IDF_DEP_78"
"246","Conflans-Sainte-Honorine",2979,"IDF_DEP_78"
"247","Croissy-sur-Seine",738,"IDF_DEP_78"
"248","Dammartin-en-Serve",57,"IDF_DEP_78"
"249","Dampierre-en-Yvelines",16,"IDF_DEP_78"
"250","Drocourt",12,"IDF_DEP_78"
"251","Ecquevilly",318,"IDF_DEP_78"
"252","Élancourt",2479,"IDF_DEP_78"
"253","Épône",427,"IDF_DEP_78"
"254","Feucherolles",16,"IDF_DEP_78"
"255","Flins-sur-Seine",42,"IDF_DEP_78"
"256","Follainville-Dennemont",186,"IDF_DEP_78"
"257","Fontenay-le-Fleury",1232,"IDF_DEP_78"
"258","Fontenay-Mauvoisin",15,"IDF_DEP_78"
"259","Fontenay-Saint-Père",5,"IDF_DEP_78"
"260","Fourqueux",186,"IDF_DEP_78"
"261","Freneuse",372,"IDF_DEP_78"
"262","Gargenville",404,"IDF_DEP_78"
"263","Gommecourt",2,"IDF_DEP_78"
"264","Guerville",29,"IDF_DEP_78"
"265","Guyancourt",6141,"IDF_DEP_78"
"266","Hardricourt",235,"IDF_DEP_78"
"267","Hermeray",8,"IDF_DEP_78"
"268","Houdan",257,"IDF_DEP_78"
"269","Houilles",1926,"IDF_DEP_78"
"270","Issou",121,"IDF_DEP_78"
"271","Jouars-Pontchartrain",123,"IDF_DEP_78"
"272","Jouy-en-Josas",1063,"IDF_DEP_78"
"273","Juziers",145,"IDF_DEP_78"
"274","L'Étang-la-Ville",85,"IDF_DEP_78"
"275","La Boissière-École",6,"IDF_DEP_78"
"276","La Celle-Saint-Cloud",1139,"IDF_DEP_78"
"277","La Queue-les-Yvelines",31,"IDF_DEP_78"
"278","La Verrière",1478,"IDF_DEP_78"
"279","Le Chesnay",1758,"IDF_DEP_78"
"280","Le Mesnil-le-Roi",519,"IDF_DEP_78"
"281","Le Mesnil-Saint-Denis",214,"IDF_DEP_78"
"282","Le Pecq",1485,"IDF_DEP_78"
"283","Le Perray-en-Yvelines",128,"IDF_DEP_78"
"284","Le Port-Marly",799,"IDF_DEP_78"
"285","Le Vésinet",726,"IDF_DEP_78"
"286","Les Clayes-sous-Bois",1708,"IDF_DEP_78"
"287","Les Essarts-le-Roi",477,"IDF_DEP_78"
"288","Les Loges-en-Josas",44,"IDF_DEP_78"
"289","Les Mureaux",4781,"IDF_DEP_78"
"290","Limay",2351,"IDF_DEP_78"
"291","Louveciennes",449,"IDF_DEP_78"
"292","Magnanville",501,"IDF_DEP_78"
"293","Magny-les-Hameaux",1134,"IDF_DEP_78"
"294","Maisons-Laffitte",1164,"IDF_DEP_78"
"295","Mantes-la-Jolie",7086,"IDF_DEP_78"
"296","Mantes-la-Ville",3210,"IDF_DEP_78"
"297","Marcq",6,"IDF_DEP_78"
"298","Mareil-Marly",75,"IDF_DEP_78"
"299","Mareil-sur-Mauldre",2,"IDF_DEP_78"
"300","Marly-le-Roi",819,"IDF_DEP_78"
"301","Maule",244,"IDF_DEP_78"
"302","Maurecourt",342,"IDF_DEP_78"
"303","Maurepas",1204,"IDF_DEP_78"
"304","Médan",5,"IDF_DEP_78"
"305","Meulan-en-Yvelines",1119,"IDF_DEP_78"
"306","Mézières-sur-Seine",118,"IDF_DEP_78"
"307","Mézy-sur-Seine",79,"IDF_DEP_78"
"308","Moisson",3,"IDF_DEP_78"
"309","Montesson",835,"IDF_DEP_78"
"310","Montfort-l'Amaury",54,"IDF_DEP_78"
"311","Montigny-le-Bretonneux",3624,"IDF_DEP_78"
"312","Morainvilliers",108,"IDF_DEP_78"
"313","Neauphle-le-Château",98,"IDF_DEP_78"
"314","Nézel",10,"IDF_DEP_78"
"315","Noisy-le-Roi",311,"IDF_DEP_78"
"316","Orcemont",9,"IDF_DEP_78"
"317","Orgerus",11,"IDF_DEP_78"
"318","Orgeval",194,"IDF_DEP_78"
"319","Plaisir",3145,"IDF_DEP_78"
"320","Poigny-la-Forêt",5,"IDF_DEP_78"
"321","Poissy",5798,"IDF_DEP_78"
"322","Porcheville",144,"IDF_DEP_78"
"323","Prunay-le-Temple",1,"IDF_DEP_78"
"324","Raizeux",17,"IDF_DEP_78"
"325","Rambouillet",2266,"IDF_DEP_78"
"326","Rocquencourt",257,"IDF_DEP_78"
"327","Rolleboise",26,"IDF_DEP_78"
"328","Rosny-sur-Seine",534,"IDF_DEP_78"
"329","Sailly",4,"IDF_DEP_78"
"330","Saint-Arnoult-en-Yvelines",123,"IDF_DEP_78"
"331","Saint-Cyr-l'École",2604,"IDF_DEP_78"
"332","Saint-Germain-en-Laye",3455,"IDF_DEP_78"
"333","Saint-Illiers-la-Ville",20,"IDF_DEP_78"
"334","Saint-Léger-en-Yvelines",34,"IDF_DEP_78"
"335","Saint-Martin-la-Garenne",7,"IDF_DEP_78"
"336","Saint-Nom-la-Bretèche",17,"IDF_DEP_78"
"337","Saint-Rémy-l'Honoré",15,"IDF_DEP_78"
"338","Saint-Rémy-lès-Chevreuse",298,"IDF_DEP_78"
"339","Sainte-Mesme",4,"IDF_DEP_78"
"340","Sartrouville",5418,"IDF_DEP_78"
"341","Soindres",2,"IDF_DEP_78"
"342","Sonchamp",2,"IDF_DEP_78"
"343","Thiverval-Grignon",332,"IDF_DEP_78"
"344","Thoiry",67,"IDF_DEP_78"
"345","Toussus-le-Noble",66,"IDF_DEP_78"
"346","Trappes",6845,"IDF_DEP_78"
"347","Triel-sur-Seine",513,"IDF_DEP_78"
"348","Vaux-sur-Seine",239,"IDF_DEP_78"
"349","Vélizy-Villacoublay",1834,"IDF_DEP_78"
"350","Verneuil-sur-Seine",1876,"IDF_DEP_78"
"351","Vernouillet",948,"IDF_DEP_78"
"352","Versailles",7292,"IDF_DEP_78"
"353","Vicq",4,"IDF_DEP_78"
"354","Villennes-sur-Seine",211,"IDF_DEP_78"
"355","Villepreux",628,"IDF_DEP_78"
"356","Villiers-le-Mahieu",14,"IDF_DEP_78"
"357","Villiers-Saint-Frédéric",110,"IDF_DEP_78"
"358","Viroflay",764,"IDF_DEP_78"
"359","Voisins-le-Bretonneux",575,"IDF_DEP_78"
"360","",2,"IDF_DEP_91"
"361","1987",1,"IDF_DEP_91"
"362","27/05/1986",1,"IDF_DEP_91"
"363","Angerville",172,"IDF_DEP_91"
"364","Arpajon",1234,"IDF_DEP_91"
"365","Athis-Mons",4189,"IDF_DEP_91"
"366","Authon-la-Plaine",2,"IDF_DEP_91"
"367","Auvers-Saint-Georges",3,"IDF_DEP_91"
"368","Avrainville",31,"IDF_DEP_91"
"369","Ballainvilliers",259,"IDF_DEP_91"
"370","Ballancourt-sur-Essonne",592,"IDF_DEP_91"
"371","Bièvres",273,"IDF_DEP_91"
"372","Boigneville",4,"IDF_DEP_91"
"373","Boissy-le-Cutté",3,"IDF_DEP_91"
"374","Boissy-le-Sec",5,"IDF_DEP_91"
"375","Boissy-sous-Saint-Yon",139,"IDF_DEP_91"
"376","Bondoufle",637,"IDF_DEP_91"
"377","Bouray-sur-Juine",16,"IDF_DEP_91"
"378","Boussy-Saint-Antoine",633,"IDF_DEP_91"
"379","Boutigny-sur-Essonne",64,"IDF_DEP_91"
"380","Brétigny-sur-Orge",3250,"IDF_DEP_91"
"381","Breuillet",609,"IDF_DEP_91"
"382","Breux-Jouy",13,"IDF_DEP_91"
"383","Briis-sous-Forges",31,"IDF_DEP_91"
"384","Brunoy",1998,"IDF_DEP_91"
"385","Bruyères-le-Châtel",138,"IDF_DEP_91"
"386","Bures-sur-Yvette",646,"IDF_DEP_91"
"387","C",1,"IDF_DEP_91"
"388","Cerny",1,"IDF_DEP_91"
"389","Chalo-Saint-Mars",6,"IDF_DEP_91"
"390","Champcueil",108,"IDF_DEP_91"
"391","Champlan",75,"IDF_DEP_91"
"392","Cheptainville",52,"IDF_DEP_91"
"393","Chevannes",157,"IDF_DEP_91"
"394","Chilly-Mazarin",1354,"IDF_DEP_91"
"395","Corbeil-Essonnes",6257,"IDF_DEP_91"
"396","Corbreuse",59,"IDF_DEP_91"
"397","Courcouronnes",1850,"IDF_DEP_91"
"398","Crosne",544,"IDF_DEP_91"
"399","Dourdan",1345,"IDF_DEP_91"
"400","Draveil",3210,"IDF_DEP_91"
"401","Égly",623,"IDF_DEP_91"
"402","Épinay-sous-Sénart",1846,"IDF_DEP_91"
"403","Épinay-sur-Orge",404,"IDF_DEP_91"
"404","Étampes",2396,"IDF_DEP_91"
"405","Étiolles",176,"IDF_DEP_91"
"406","Étréchy",139,"IDF_DEP_91"
"407","Évry",9799,"IDF_DEP_91"
"408","Fleury-Mérogis",1951,"IDF_DEP_91"
"409","Fontenay-le-Vicomte",123,"IDF_DEP_91"
"410","Fontenay-lès-Briis",35,"IDF_DEP_91"
"411","Forges-les-Bains",20,"IDF_DEP_91"
"412","Gif-sur-Yvette",2051,"IDF_DEP_91"
"413","Gometz-la-Ville",12,"IDF_DEP_91"
"414","Gometz-le-Châtel",152,"IDF_DEP_91"
"415","Grigny",3992,"IDF_DEP_91"
"416","Guigneville-sur-Essonne",6,"IDF_DEP_91"
"417","Igny",828,"IDF_DEP_91"
"418","Itteville",178,"IDF_DEP_91"
"419","Janville-sur-Juine",30,"IDF_DEP_91"
"420","Juvisy-sur-Orge",1895,"IDF_DEP_91"
"421","La Ferté-Alais",210,"IDF_DEP_91"
"422","Lardy",125,"IDF_DEP_91"
"423","Le Coudray-Montceaux",344,"IDF_DEP_91"
"424","Les Granges-le-Roi",9,"IDF_DEP_91"
"425","Leudeville",8,"IDF_DEP_91"
"426","Leuville-sur-Orge",178,"IDF_DEP_91"
"427","Limours",236,"IDF_DEP_91"
"428","Linas",188,"IDF_DEP_91"
"429","Lisses",697,"IDF_DEP_91"
"430","Longjumeau",2589,"IDF_DEP_91"
"431","Longpont-sur-Orge",257,"IDF_DEP_91"
"432","Marcoussis",429,"IDF_DEP_91"
"433","Marolles-en-Hurepoix",244,"IDF_DEP_91"
"434","Massy",1428,"IDF_DEP_91"
"435","Antony",5676,"IDF_DEP_92"
"436","Asnières-sur-Seine",8905,"IDF_DEP_92"
"437","Bagneux",10732,"IDF_DEP_92"
"438","Bois-Colombes",2290,"IDF_DEP_92"
"439","Boulogne-Billancourt",8656,"IDF_DEP_92"
"440","Bourg-la-Reine",1368,"IDF_DEP_92"
"441","Châtenay-Malabry",6282,"IDF_DEP_92"
"442","Châtillon",3949,"IDF_DEP_92"
"443","Chaville",2301,"IDF_DEP_92"
"444","Clamart",6682,"IDF_DEP_92"
"445","Clichy",9970,"IDF_DEP_92"
"446","Colombes",11700,"IDF_DEP_92"
"447","Courbevoie",9535,"IDF_DEP_92"
"448","Fontenay-aux-Roses",4237,"IDF_DEP_92"
"449","Garches",1545,"IDF_DEP_92"
"450","Gennevilliers",11928,"IDF_DEP_92"
"451","Issy-les-Moulineaux",7833,"IDF_DEP_92"
"452","La Garenne-Colombes",1747,"IDF_DEP_92"
"453","Le Plessis-Robinson",4178,"IDF_DEP_92"
"454","Levallois-Perret",5918,"IDF_DEP_92"
"455","Malakoff",5716,"IDF_DEP_92"
"456","Marnes-la-Coquette",121,"IDF_DEP_92"
"457","Meudon",5084,"IDF_DEP_92"
"458","Montrouge",5201,"IDF_DEP_92"
"459","Nanterre",20880,"IDF_DEP_92"
"460","Neuilly-sur-Seine",1255,"IDF_DEP_92"
"461","Puteaux",6535,"IDF_DEP_92"
"462","Rueil-Malmaison",8040,"IDF_DEP_92"
"463","Saint-Cloud",2121,"IDF_DEP_92"
"464","Sceaux",1974,"IDF_DEP_92"
"465","Sèvres",2378,"IDF_DEP_92"
"466","Suresnes",7686,"IDF_DEP_92"
"467","Vanves",3087,"IDF_DEP_92"
"468","Vaucresson",286,"IDF_DEP_92"
"469","Ville-d'Avray",542,"IDF_DEP_92"
"470","Villeneuve-la-Garenne",5006,"IDF_DEP_92"
"471","Aubervilliers",12389,"IDF_DEP_93"
"472","Aulnay-sous-Bois",9705,"IDF_DEP_93"
"473","Bagnolet",6843,"IDF_DEP_93"
"474","Bobigny",10165,"IDF_DEP_93"
"475","Bondy",9390,"IDF_DEP_93"
"476","Clichy-sous-Bois",3323,"IDF_DEP_93"
"477","Coubron",85,"IDF_DEP_93"
"478","Drancy",8410,"IDF_DEP_93"
"479","Dugny",2865,"IDF_DEP_93"
"480","Épinay-sur-Seine",6560,"IDF_DEP_93"
"481","Gagny",3490,"IDF_DEP_93"
"482","Gournay-sur-Marne",164,"IDF_DEP_93"
"483","L'Île-Saint-Denis",1940,"IDF_DEP_93"
"484","La Courneuve",7763,"IDF_DEP_93"
"485","Le Blanc-Mesnil",7890,"IDF_DEP_93"
"486","Le Bourget",1444,"IDF_DEP_93"
"487","Les Lilas",3188,"IDF_DEP_93"
"488","Livry-Gargan",1803,"IDF_DEP_93"
"489","Ablon-sur-Seine",328,"IDF_DEP_94"
"490","Alfortville",8363,"IDF_DEP_94"
"491","Arcueil",4367,"IDF_DEP_94"
"492","Boissy-Saint-Léger",2249,"IDF_DEP_94"
"493","Bonneuil-sur-Marne",4234,"IDF_DEP_94"
"494","Bry-sur-Marne",1009,"IDF_DEP_94"
"495","Cachan",4887,"IDF_DEP_94"
"496","Champigny-sur-Marne",12283,"IDF_DEP_94"
"497","Charenton-le-Pont",3907,"IDF_DEP_94"
"498","Chennevières-sur-Marne",1739,"IDF_DEP_94"
"499","Chevilly-Larue",3035,"IDF_DEP_94"
"500","Choisy-le-Roi",6638,"IDF_DEP_94"
"501","Créteil",14625,"IDF_DEP_94"
"502","Fontenay-sous-Bois",7361,"IDF_DEP_94"
"503","Fresnes",3342,"IDF_DEP_94"
"504","Gentilly",4559,"IDF_DEP_94"
"505","Ivry-sur-Seine",11471,"IDF_DEP_94"
"506","Joinville-le-Pont",2187,"IDF_DEP_94"
"507","L'Haÿ-les-Roses",3274,"IDF_DEP_94"
"508","La Queue-en-Brie",1119,"IDF_DEP_94"
"509","Le Kremlin-Bicêtre",4499,"IDF_DEP_94"
"510","Le Perreux-sur-Marne",1446,"IDF_DEP_94"
"511","Le Plessis-Trévise",1315,"IDF_DEP_94"
"512","Limeil-Brévannes",3127,"IDF_DEP_94"
"513","Maisons-Alfort",6601,"IDF_DEP_94"
"514","Mandres-les-Roses",211,"IDF_DEP_94"
"515","Marolles-en-Brie",236,"IDF_DEP_94"
"516","Nogent-sur-Marne",1909,"IDF_DEP_94"
"517","Noiseau",272,"IDF_DEP_94"
"518","Orly",5105,"IDF_DEP_94"
"519","Ormesson-sur-Marne",77,"IDF_DEP_94"
"520","Périgny",75,"IDF_DEP_94"
"521","Rungis",423,"IDF_DEP_94"
"522","Saint-Mandé",1136,"IDF_DEP_94"
"523","Saint-Maur-des-Fossés",2821,"IDF_DEP_94"
